"","observer","ageclass","sex","cohort","year","age","grid","trialnumber","trialdate","walk","jump","hole","hang","chew","groom","still","front","back","attack","attacklatency","approachlatency","squirrel_id","OFT1","OFT2"
"54","AKB","A","M",2002,2005,3,"AG",1,2005-06-12,0.1126,0.0488888888888889,0.02,0.09,0,0,0.6499,0.6543,0.2083,0.0566666666666667,0.0374333333333333,0.0304333333333333,6357,-1.18767553042496,-0.198370163132209
"55","AKB","A","M",2002,2005,3,"AG",1,2005-06-12,0.1114,0.02,0.00666666666666667,0.2897,0,0.0165,0.3809,0.673,0.0782,0.0133333333333333,0.266233333333333,0.144233333333333,7119,-1.07335661709229,0.521448589880546
"56","AKB","Y","M",2004,2005,1,"AG",1,2005-06-12,0.1322,0.0577777777777778,0.0266666666666667,0.1271,0,0.0112,0.5577,0.0377,0.3322,0,1,0.172666666666667,6586,-0.819333825508974,-0.347257689993411
"57","AKB","A","F",2003,2005,2,"AG",1,2005-06-12,0.1458,0.0622222222222222,0.0177777777777778,0.3822,0,0.0187,0.1388,0,1,0,1,1,7329,-0.023465324639017,0.522522460459256
"58","AKB","Y","F",2004,2005,1,"SU",1,2005-06-13,0.15752,0.0822222222222222,0.0333333333333333,0.16238,0.3943,0.0317,0.0559,0.2488,0.1631,0.00666666666666667,0.240766666666667,0.142766666666667,8398,1.60231309154408,0.300407947050343
"59","AKB","A","F",2002,2005,3,"SU",1,2005-06-13,0.16036,0.0777777777777778,0.0111111111111111,0.16324,0.1685,0.0304,0.194,0,0,0,1,1,6458,0.427199138785207,0.269135524250917
"60","AKB","A","F",2003,2005,2,"SU",1,2005-06-13,0.10376,0.0555555555555556,0.02,0.08434,0.0626,0.0121,0.567,0,0,0,1,1,7387,-0.846693806384111,-0.19340947658508
"61","AKB","A","F",2003,2005,2,"KL",1,2005-06-14,0.17138,0.0533333333333333,0.02,0.6472,0,0.0208,0.0014,0.7601,0.064,0.0133333333333333,0.120333333333333,0.0192333333333333,6500,0.288122737964828,1.21534579310678
"62","AKB","Y","M",2004,2005,1,"SU",1,2005-06-16,0.1298,0.0911111111111111,0.0111111111111111,0.3212,0,0.0406,0.3083,0.8293,0.0333,0.0566666666666667,0.133,0.0331,7874,-0.283748711031431,0.230097523281161
"63","AKB","Y","F",2004,2005,1,"SU",1,2005-06-16,0.0525,0.0266666666666667,0.0133333333333333,0.43502,0,0.0175,0.3135,0,1,0,0.933566666666667,0.933566666666667,7025,-1.01232419509985,0.805888706467517
"64","AKB","A","M",2003,2005,2,"SU",1,2005-06-16,0.0642,0.0155555555555556,0.00444444444444444,0.0895,0,0.052,0.5055,0,0,0,1,1,7022,-1.61352241088306,-0.358594316421623
"65","AKB","A","M",2003,2005,2,"SU",1,2005-06-16,0.1816,0.0644444444444444,0.0133333333333333,0.2723,0,0.0136,0.1672,0,1,0,1,1,7024,0.0189116679038158,0.340891056958603
"66","AKB","Y","M",2004,2005,1,"KL",1,2005-06-16,0.1216,0.0444444444444444,0.02,0.1024,0,0.0086,0.4798,0,1,0,1,1,6400,-0.881279650155145,-0.231000393848789
"67","AKB","Y","M",2004,2005,1,"SU",1,2005-06-17,0.1842,0.126666666666667,0.0533333333333333,0.4185,0,0.0263,0.1995,0.1635,0.2175,0.01,0.946,0.623,10120,0.883398208654065,-0.248002545619098
"68","AKB","A","M",2000,2005,5,"SU",1,2005-06-17,0.0617,0.0288888888888889,0.00444444444444444,0.157,0,0.0119,0.6146,0,0.8197,0,1,0.014,7247,-1.64141367331725,0.222781081782841
"69","AKB","Y","F",2004,2005,1,"SU",1,2005-06-17,0.1388,0.0533333333333333,0.0223333333333333,0.47904,0,0.0156,0.0192,0,0.6036,0,1,1,6528,0.169729874567902,0.755371575022097
"70","AKB","A","M",2002,2005,3,"SU",1,2005-06-17,0.1393,0.0333333333333333,0.0288444444444444,0.2233,0,0,0.485,0.0026,0.9974,0,1,1,7575,-0.806340003334413,0.0153426227207548
"71","AKB","Y","F",2004,2005,1,"SU",1,2005-06-18,0.16258,0.131111111111111,0.0177777777777778,0.36106,0.026,0.0194,0.2176,0.3775,0.2194,0.01,0.223433333333333,0.00643333333333333,7584,0.520584593694183,0.455074128124783
"72","AKB","A","M",2003,2005,2,"SU",1,2005-06-18,0.0784,0.0355555555555556,0,0.8671,0,0,0.0019,0.0084,0,0,1,0.8608,10296,-0.33493586316005,2.50290778364034
"73","AKB","A","F",2002,2005,3,"SU",1,2005-06-18,0.0667,0.0133333333333333,0.00866666666666667,0.04894,0,0.1389,0.309,0,1,0,1,1,7278,-1.37064484855371,-1.42839558397464
"74","AKB","Y","M",2004,2005,1,"KL",1,2005-06-20,0.0578,0.0266666666666667,0.0133333333333333,0.3706,0,0.2618,0.2001,0.1658,0.7359,0.02,0.392866666666667,0.287,6553,-1.25530840913608,-1.87403451373323
"75","AKB","A","M",2003,2005,2,"KL",1,2005-06-20,0.0692,0.0333333333333333,0.0288444444444444,0.1606,0,0.0027,0.6441,0.3459,0.247,0.0133333333333333,0.0563333333333333,0.0333333333333333,7897,-1.35993298961828,-0.185911105973961
"76","AKB","Y","F",2004,2005,1,"KL",1,2005-06-20,0.15342,0.0244444444444444,0.0576666666666667,0.1552,0.0111,0.0357,0.1607,0.0397,0.8409,0.00333333333333333,0.801233333333333,0.2569,6507,0.0588747677825899,-1.07424819679318
"77","AKB","A","M",2002,2005,3,"KL",1,2005-06-20,0.1488,0.0711111111111111,0.00666666666666667,0.6312,0.0012,0.0337,0.0045,0.0192,0.8056,0,1,0.0781,6527,0.188182934474099,1.31212397630387
"78","AKB","Y","M",2004,2005,1,"KL",1,2005-06-21,0.153,0.113333333333333,0.0355111111111111,0.2186,0,0.0456,0.4588,0.1545,0.4573,0.0166666666666667,0.896,0.1071,7842,-0.0693814373692277,-0.654518931923246
"79","AKB","Y","M",2004,2005,1,"AG",1,2005-06-23,0.0845,0.0488888888888889,0.00888888888888889,0.444,0,0.0226,0.1874,0.0295,0.8539,0,1,0.00886666666666667,8755,-0.533768508047091,0.862306646093823
"80","AKB","Y","M",2004,2005,1,"AG",1,2005-06-23,0.0839,0.0422222222222222,0.0111111111111111,0.6126,0,0.0241,0.0997,0,0.6938,0,1,0.278433333333333,7023,-0.392327454248315,1.2908238294038
