"Squirrel","date","tod","Feed","Forage","NestMove","NestNotMove","notmoving","Travel","total","Deploy","out","act","Grid","Treatment","Sex","Squirrel_ID"
"K6",2014-03-20,"dusk",0,0,66,2475,0,0,2541,"February 2014",0,0,"KL","control","M",19884
"K6",2014-03-20,"night",0,0,3055,34270,0,0,37325,"February 2014",0,0,"KL","control","M",19884
"K6",2014-03-21,"dawn",616,288,1059,540,0,42,2545,"February 2014",0.371709233791749,0.371709233791749,"KL","control","M",19884
"K6",2014-03-21,"day",14688,13900,1374,4532,7021,2815,44330,"February 2014",0.86677193773968,0.708391608391608,"KL","control","M",19884
"K6",2014-03-21,"dusk",0,0,77,2468,0,0,2545,"February 2014",0,0,"KL","control","M",19884
"K6",2014-03-21,"night",0,0,2948,34032,0,0,36980,"February 2014",0,0,"KL","control","M",19884
"K6",2014-03-22,"dawn",1424,480,500,0,66,79,2549,"February 2014",0.803844644958807,0.77795213809337,"KL","control","M",19884
"K6",2014-03-22,"day",16957,6990,1947,16228,1563,981,44666,"February 2014",0.593090941655846,0.558097882057941,"KL","control","M",19884
"K6",2014-03-22,"dusk",0,0,99,2451,0,0,2550,"February 2014",0,0,"KL","control","M",19884
"K6",2014-03-22,"night",66,0,2850,31765,1954,0,36635,"February 2014",0.0551385287293572,0.00180155588917702,"KL","control","M",19884
"K6",2014-03-23,"dawn",1165,1108,0,0,66,216,2555,"February 2014",1,0.974168297455969,"KL","control","M",19884
"K6",2014-03-23,"day",18907,7922,1377,8057,7623,1116,45002,"February 2014",0.790364872672326,0.620972401226612,"KL","control","M",19884
"K6",2014-03-23,"dusk",0,0,99,2456,0,0,2555,"February 2014",0,0,"KL","control","M",19884
"K6",2014-03-23,"night",205,262,3684,30657,1450,30,36288,"February 2014",0.0536541005291005,0.013695987654321,"KL","control","M",19884
"K6",2014-03-24,"dawn",1405,818,0,0,110,227,2560,"February 2014",1,0.95703125,"KL","control","M",19884
"K6",2014-03-24,"day",12978,11886,2173,11961,4084,2257,45339,"February 2014",0.68825955579082,0.598182580118662,"KL","control","M",19884
"K6",2014-03-24,"dusk",0,0,66,2494,0,0,2560,"February 2014",0,0,"KL","control","M",19884
"K6",2014-03-24,"night",376,712,3162,31374,132,185,35941,"February 2014",0.0390918449681422,0.035419159177541,"KL","control","M",19884
"K6",2014-03-25,"dawn",1440,347,0,68,707,5,2567,"February 2014",0.973509933774834,0.698091156992598,"KL","control","M",19884
