"","squirrel_id","axy_yr","axy.local.density","axy_avg_fam"
"127",19537,2014,2.82523567618749,55.2
"128",12027,2014,1.88349045079166,255.9
"129",20495,2014,1.69514140571249,0
"130",12522,2014,2.63688663110833,420.5
"131",19655,2014,4.52037708189999,0
"132",12285,2014,2.44853758602916,116.461538461538
"133",19257,2014,4.14367899174165,118.727272727273
"134",12705,2014,3.20193376634582,76.7058823529412
"135",19354,2014,1.50679236063333,0
"136",13690,2014,1.88349045079166,409.3
"137",13012,2014,3.20193376634582,92.4705882352941
"138",19702,2014,3.76698090158332,36.8
"139",19880,2014,1.69514140571249,71.5555555555556
"140",19611,2014,0.94174522539583,0
"141",11674,2014,0,0
"142",19267,2014,1.69514140571249,609
"143",12524,2014,1.69514140571249,0
"144",19601,2014,0.94174522539583,219
"145",13305,2014,3.01358472126666,165.625
